D,ScientificName,QualifiedScientificName,CommonName,Family,Genus,Species,SpeciesAuthority,Subspecies,SubspeciesAuthority,Variety,VarietyAuthority,Forma,FormaAuthority,Identifier,IDDate,IDNotes,CDC,MuseumCollection,Collector,CollectorsFieldNumber,CollectionDate,Prov_State,District,LocationName,LocationDescription,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Elevation,Park_ER_IR,HabitatRemarks,SpecimenNotes,SpeciesAbundance,ReviewedYesNo,AddedYesNo,ImagedYesNo,scientificNameReviewed,scientificNameReviewedwAuthorities,SpeciesAuthorityNew,SubspeciesAuthorityNew,VarietyAuthorityNew,IdentifierNew,IDDateNew,IDNotesNew,MuseumCollectionNew,CollectorsFieldNumberNew,CollectionDateNew,Prov_StateNew,DistrictNew,LocationNameNew,decimalLatitude,decimalLongitude,georeferencedBy,georeferenceVerificationStatus,georeferenceProtocol,georeferenceRemarks,elevationNew,Park_ER_IR_New,HabitatRemarksNew,SpecimenNotesNew,SpeciesAbundanceNew
V087219,Minuartia tenella (J. Gay) Mattf.,Minuartia tenella (J. Gay) Mattf.,,Caryophyllaceae,Minuartia,tenella,(Nutt.) Mattf.,,,,,,,Kendrick Marr,2014-11-14,Reviewed for VFBC,,,Harvey Janszen,864,1976-06-04,British Columbia,,Mount Fisher; Saturna Island,,48.77916667,-123.1861111,,,,,,shallow moss meadow; abundant on N slope,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087215,Bromus aleutensis Trin. ex Griseb.,Bromus aleutensis Trin. ex Griseb.,Alaska brome; grass,Poaceae,Bromus,aleutensis,Trin. ex Griseb.,,,,,,,Leon Pavlick,1990-01-01,"IDD:  19900000; Pavlick states: ""hybrid?""",Not Listed,Janszen 1976,Harvey Janszen,880,1976-06-10,British Columbia,Gulf Islands,Narvaez Bay; Saturna Island,Narvaez Bay Road,48.76666667,-123.1,,,,,,on roadside,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087230,Bromus carinatus Hook. & Arn. var. carinatus,Bromus carinatus Hook. & Arn. var. carinatus,California brome; grass,Poaceae,Bromus,carinatus,,,,carinatus,,,,Kendrick Marr,2006-11-23,,Not Listed,Janszen 1976,Harvey Janszen,886,1976-06-22,British Columbia,Gulf Islands,Taylor Point; Saturna Island,above Point,48.76666667,-123.1333333,,,,,,arbutus talus slope,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087216,Poa howellii Vasey & Scribn.,Poa howellii Vasey & Scribn.,grass; Howell's bluegrass,Poaceae,Poa,howellii,Vasey & Scribn.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1976,Harvey Janszen,887,1976-06-22,British Columbia,Gulf Islands,Saturna Island,Potato Hill,48.78333333,-123.15,,,,,,"shady oak copse, also in douglas fir-arbutus talus areas below bluffs",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087217,Bromus carinatus Hook. & Arn. var. marginatus (Nees) Barkw. & Anderton,Bromus carinatus Hook. & Arn. var. marginatus (Nees) Barkw. & Anderton,California brome; grass,Poaceae,Bromus,carinatus,,,,marginatus,(Nees) Barkw. & Anderton,,,Laurel Anderton,2005-01-01,IDD:  20050000; Anderton of Intermountain Herbarium - Utah State University,Not Listed,Janszen 1976,Harvey Janszen,890,1976-07-04,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,"grassy ledge, S-facing bluffs occasional in dense Bromus sterilis",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087237,Torilis japonica (Houtt.) DC.,Torilis japonica (Houtt.) DC.,hedge-parsley; upright hedge-parsley,Apiaceae,Torilis,japonica,(Houtt.) DC.,,,,,,,Harvey Janszen,1976-01-01,,Not Listed,Janszen 1976,Harvey Janszen,900,1976-07-13,British Columbia,,Galiano Island; Mount Sutil,,,,,,,,,widespread on open S bluff face,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087231,Carex cusickii Mack. ex Piper & Beattie,Carex cusickii Mack. ex Piper & Beattie,Cusick's sedge; sedge,Cyperaceae,Carex,cusickii,Mack. ex Piper & Beattie,,,,,,,T. Cochrane,1990-08-01,,Not Listed,Janszen 1976,Harvey Janszen,918,1976-07-16,British Columbia,Saturna Island,Saturna Island,,48.78333333,-123.15,,,,,,on floating logs in Typha fen - dense tufts,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V107081,Collomia heterophylla Hook.,Collomia heterophylla Hook.,vari-leaved collomia,Polemoniaceae,Collomia,heterophylla,Hook.,,,,,,,Kendrick Marr,2018-09-07,,Not Listed,Janszen 1976,Harvey Janszen,928,1976-07-17,British Columbia,Gulf Islands,Galiano Island,,48.93333333,-123.45,,,,,,"disturbed ground, gravel pit",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087236,Agrostis scabra Willd.,Agrostis scabra Willd.,grass; hair bentgrass; winter bentgrass,Poaceae,Agrostis,scabra,Willd.,,,,,,,Harvey Janszen,1976-07-19,,Not Listed,Janszen 1976,Harvey Janszen,932,1976-07-19,British Columbia,Gulf Islands,Saturna Island,Mount Pyke,48.78333333,-123.15,,,,,,abundant on open log roads all over island,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087235,Agrostis exarata Trin. var. monolepis [Torr.] A.S. Hitchc.,Agrostis exarata Trin. var. monolepis [Torr.] A.S. Hitchc.,grass; spike bentgrass,Poaceae,Agrostis,exarata,,,,monolepis,[Torr.] A.S. Hitchc.,,,Harvey Janszen,1976-01-01,,Not Listed,Janszen 1976,Harvey Janszen,934,1976-07-19,British Columbia,Gulf Islands,Saturna Island; Mt. Pyke,,48.78333333,-123.15,,,,,,logged area,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V087240,Agrostis exarata Trin.,Agrostis exarata Trin.,grass; spike bentgrass,Poaceae,Agrostis,exarata,Trin.,,,,,,,Harvey Janszen,1982-11-04,,Not Listed,Janszen 1976,Harvey Janszen,945,1976-08-03,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,gravel pit,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097954,Barbarea orthoceras Ledeb.,Barbarea orthoceras Ledeb.,American winter cress; winter cress,Brassicaceae,Barbarea,orthoceras,Ledeb.,,,,,,,Harvey Janszen,1977-01-01,,Not Listed,Janszen 1977,Harvey Janszen,949,1977-03-25,British Columbia,Gulf Islands,Saturna Island,Old Point,48.78333333,-123.15,,,,,,bluffs; mossy rock outcrop,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098071,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,popcornflower; slender popcornflower,Boraginaceae,Plagiobothrys,tenellus,(Nutt. ex Hook.) A. Gray,,,,,,,Curtis Bjork,2013-02-01,,Red,Janszen 1977,Harvey Janszen,951,1977-04-14,British Columbia,,Gulf Islands; Saturna Island,,48.8,-123.2,,,,,,prairie hill; open bluff,very common,very common,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097777,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Kellogg's sedge; sedge,Cyperaceae,Carex,lenticularis,,,,lipocarpa,(Holm) Standley,,,Adolf Ceska,2000-08-01,,Not Listed,Janszen 1977,Harvey Janszen,956,1977-05-25,British Columbia,Gulf Islands,North Pender Island,Dept. of Hwy. yard.,48.78333333,-123.2833333,,,,,,Ditches.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097779,Glyceria occidentalis (Piper) J.C. Nels.,Glyceria occidentalis (Piper) J.C. Nels.,grass; western mannagrass,Poaceae,Glyceria,occidentalis,(Piper) J.C. Nels.,,,,,,,George Douglas,1994-01-01,IDD:  19940000; M.E.B. from Intermountain Herbarium -  Utah State University; loan no. 476,Blue,Janszen 1979,Harvey Janszen,961,1977-06-14,British Columbia,,Mayne Island,Horton Bay Road,,,,,,,,marshy farm fields,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097778,Danthonia californica Boland.,Danthonia californica Boland.,California oatgrass; grass,Poaceae,Danthonia,californica,Boland.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,,Harvey Janszen,962,1977-06-14,British Columbia,Gulf Islands,Mayne Island,third hill east above Navy Channel,48.85,-123.2833333,,,,,,"open bluffs; grassland of Stipa, Festuca rubra and Elymus",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097781,Athysanus pusillus (Hook.) Greene,Athysanus pusillus (Hook.) Greene,common sandweed; sandweed,Brassicaceae,Athysanus,pusillus,(Hook.) Greene,,,,,,,George Douglas,1991-01-01,,Not Listed,Janszen 1978,Harvey Janszen,967,1978-03-27,British Columbia,Gulf Islands,Galiano Island; Mount Sutil,,48.86666667,-123.3833333,,,,,,rocky SW slope of mountain.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097772,Ranunculus californicus Benth.,Ranunculus californicus Benth.,buttercup; California buttercup,Ranunculaceae,Ranunculus,californicus,Benth.,,,,,,,T. Brayshaw,1982-11-15,,Red,Janszen 1978,Harvey Janszen,969,1978-05-19,British Columbia,Gulf Islands,Saturna Island,,,,,,,,,moist border of field above S-facing cliffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097938,Piperia elegans (Lindl.) Rydb.,Piperia elegans (Lindl.) Rydb.,elegant rein orchid; orchid,Orchidaceae,Piperia,elegans,(Lindl.) Rydb.,,,,,,,Heather Stewart,1999-11-01,,Yellow,Janszen 1978,Harvey Janszen,970,1978-07-06,British Columbia,Gulf Islands,Blunden Islet,Blunden islet off South Pender,48.75,-123.1666667,,,,,,Dry rocky islet,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097937,Orobanche californica Cham. & Schlecht. ssp. californica,Orobanche californica Cham. & Schlecht. ssp. californica,broomrape; California broomrape,Orobanchaceae,Orobanche,californica,,californica,,,,,,Harvey Janszen,1978-01-01,"Confirmed by Ken Marr, 27/02/2016 for FNA and VFBC.",Not Listed,Janszen 1978,Harvey Janszen,971,1978-07-06,British Columbia,Gulf Islands,Blunden Islet,near South Pender Island,,,,,,,,dry rocky islets with Grindelia integrifolia,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097889,Luzula macrantha (S. Watson) Zika & B.L. Wilson,Luzula macrantha (S. Watson) Zika & B.L. Wilson,,Juncaceae,Luzula,macrantha,(S. Watson) Zika & B.L. Wilson,,,,,,,Peter Zika,2012-01-01,"P.F. Zika, 2012: Imm., poor coll., probably L. macrantha, need ripe fruit",,Janszen 1979,Harvey Janszen,974,1979-03-31,British Columbia,Gulf Islands,Galiano Island; Sutil Mountain,,48.86666667,-123.3833333,,,,,,open grassy bluff,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098035B,Mimulus alsinoides Dougl. ex Benth.,Mimulus alsinoides Dougl. ex Benth.,chickweed monkey-flower; monkey-flower,Scrophulariaceae,Mimulus,alsinoides,Dougl. ex Benth.,,,,,,,Jennifer Modliszewski,2012-12-19,"Determination confirmed as M. alsinoides by Jennifer Modliszewski, Duke University, December 19, 2012",Not Listed,,Harvey Janszen,978,1979-04-06,British Columbia,Gulf Islands,Mayne Island,,,,,,,,,,"This sheet also contains specimens of M. sookensis (V098035A, pressed sheet)",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098035A,"Mimulus sookensis B.G. Benedict, Modlisz, Sweigart, N.H. Martin, Ganders & John H. Willis","Mimulus sookensis B.G. Benedict, Modlisz, Sweigart, N.H. Martin, Ganders & John H. Willis",monkey-flower; Sooke form of monkey-flower,Scrophulariaceae,Mimulus,sookensis,"B.G. Benedict, Modlisz, Sweigart, N.H. Martin, Ganders & John H. Willis",,,,,,,Jennifer Modliszewski,2012-12-19,,Not Listed,Janszen 1979,Harvey Janszen,978,1979-04-06,British Columbia,Gulf Islands,Mayne Island; Heck Hill,,48.83166667,-123.2911111,,,,,,open bluff,"This sheet also contains specimens of M. alsinoides (V098035A, photocopy)",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098034,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,popcornflower; slender popcornflower,Boraginaceae,Plagiobothrys,tenellus,(Nutt. ex Hook.) A. Gray,,,,,,,Curtis Bjork,2013-02-01,,Red,Janszen 1979,Harvey Janszen,979,1979-04-06,British Columbia,,Gulf Islands; Mayne Island; Heck Hill,,48.81666667,-123.2833333,,,,,,open bluff,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098033X,Delphinium menziesii DC.,Delphinium menziesii DC.,larkspur; Menzies' larkspur,Ranunculaceae,Delphinium,menziesii,DC.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,980,1979-04-06,British Columbia,Gulf Islands,Mayne Island; Heck Hill,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098044,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,,Adolf Ceska,1981-01-01,,Not Listed,,Harvey Janszen,985,1979-04-06,British Columbia,,Mayne Island,below Heck Hill,,,,,,,,sedge marsh,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098038,Poa annua L.,Poa annua L.,annual bluegrass; grass,Poaceae,Poa,annua,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1979,Harvey Janszen,988,1979-04-06,British Columbia,Gulf Islands,Mayne Island,Village Bay,48.85,-123.2833333,,,,,,roadside and disturbed ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098040,"Pentagramma triangularis (Kaulf.) Yatskievych, Windham & Wollenweber","Pentagramma triangularis (Kaulf.) Yatskievych, Windham & Wollenweber",fern; goldenback fern,Pteridaceae,Pentagramma,triangularis,"(Kaulf.) Yatskievych, Windham & Wollenweber",,,,,,,Heidi Guest,2018-10-18,"New name pencilled in 1999
Taxonomic update",Not Listed,,Harvey Janszen,989,1979-04-06,British Columbia,Gulf Islands,Mayne Island; Heck Hill,,48.83166667,-123.2911111,,,,,,lea of large rocks,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098632,Cardamine oligosperma Nutt. var. oligosperma,Cardamine oligosperma Nutt. var. oligosperma,bitter-cress; little western bitter-cress,Brassicaceae,Cardamine,oligosperma,,,,oligosperma,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,996,1979-04-20,British Columbia,Gulf Islands,North Pander Island,,48.78333333,-123.2833333,,,,,,wet mossy banks,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098628,Amsinckia retrorsa Suksd.,Amsinckia retrorsa Suksd.,fiddleneck; rigid fiddleneck,Boraginaceae,Amsinckia,retrorsa,Suksd.,,,,,,,Curtis Bjork,2015-03-01,,Yellow,Janszen 1979,Harvey Janszen,997,1979-04-20,British Columbia,,North Pender Island,Oak Bluffs,48.78333333,-123.2833333,,,,,,rock slide; open bluffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098630,Geranium molle L.,Geranium molle L.,dovefoot geranium; geranium,Geraniaceae,Geranium,molle,L.,,,,,,,Kendrick Marr,2016-10-21,,Not Listed,Janszen 1979,Harvey Janszen,998,1979-04-20,British Columbia,Gulf Islands,Oaks Bluff; North Pender Island,,48.75,-123.2666667,,,,,,Oaks Bluff,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098629,Ranunculus occidentalis Nutt. var. occidentalis,Ranunculus occidentalis Nutt. var. occidentalis,buttercup; western buttercup,Ranunculaceae,Ranunculus,occidentalis,,,,occidentalis,,,,Margaret Heimburger,1981-07-06,,Not Listed,Janszen 1979,Harvey Janszen,1000,1979-04-20,British Columbia,Gulf Islands,North Pender Island,,48.78333333,-123.2833333,,,,,,"seepage area, oaks bluff",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098637,Turritis glabra  L.,Turritis glabra  L.,,Brassicaceae,Turritis,glabra,L.,,,,,,,Curtis Bjork,2015-03-01,,,Janszen 1979,Harvey Janszen,1002,1979-04-20,British Columbia,Gulf Islands,North Pender Island; Oaks Bluff,,48.75,-123.2666667,,,,,,open bluffs.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098638,Quercus garryana Dougl.,Quercus garryana Dougl.,Garry oak; oak,Fagaceae,Quercus,garryana,Dougl.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1003,1979-04-20,British Columbia,Gulf Islands,North Pender Island,,48.78333333,-123.2833333,,,,,,open bluff; oaks bluff; groves of trees,some reproduction,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V113507,Thlaspi arvense L.,Thlaspi arvense L.,field pennycress; pennycress,Brassicaceae,Thlaspi,arvense,L.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,Harvey Janszen,1010,1981-05-14,British Columbia,Gulf Islands,North Pender Island,farm yard,48.78333333,-123.2833333,,,,,,farm yard,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098622,Alopecurus pratensis L.,Alopecurus pratensis L.,grass; meadow-foxtail,Poaceae,Alopecurus,pratensis,L.,,,,,,,William Crins,1989-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1012,1979-04-20,British Columbia,,Otter Bay,North Pender Island,48.78333333,-123.2833333,,,,,,Disturbed ground.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098604,Equisetum arvense L.,Equisetum arvense L.,common horsetail; horsetail,Equisetaceae,Equisetum,arvense,L.,,,,,,,Adolf Ceska,1981-01-01,,Not Listed,,Harvey Janszen,1013,1959-04-20,British Columbia,,North Pender Island,,,,,,,,,fen,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098603,"Pentagramma triangularis (Kaulf.) Yatskievych, Windham & Wollenweber","Pentagramma triangularis (Kaulf.) Yatskievych, Windham & Wollenweber",fern; goldenback fern,Pteridaceae,Pentagramma,triangularis,"(Kaulf.) Yatskievych, Windham & Wollenweber",,,,,,,Heidi Guest,2018-10-18,"New name pencilled in 1999
Taxonomic update",Not Listed,,Harvey Janszen,1014,1979-04-20,British Columbia,Gulf Islands,North Pender Island; Oaks Bluff,,48.75,-123.2666667,,,,,,"open bluff; lea of boulders,",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098606,Moehringia macrophylla (Hook.) Fenzl,Moehringia macrophylla (Hook.) Fenzl,big-leaved sandwort; sandwort,Caryophyllaceae,Moehringia,macrophylla,(Hook.) Fenzl,,,,,,,Kendrick Marr,2015-03-03,Reviewed for VFBC,Not Listed,,Harvey Janszen,1017,1979-04-20,British Columbia,,North Pender Island; Magic Lake,,48.78416667,-123.285,,,,,,mossy ridges,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098609,Myosotis discolor Pers.,Myosotis discolor Pers.,common forget-me-not; forget-me-not,Boraginaceae,Myosotis,discolor,Pers.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1024,1979-04-20,British Columbia,,Gulf Islands; North Pender Island,Oaks Bluff,48.78333333,-123.2833333,,,,,,open bluffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098620,Bromus carinatus Hook. & Arn. var. marginatus (Nees) Barkw. & Anderton,Bromus carinatus Hook. & Arn. var. marginatus (Nees) Barkw. & Anderton,California brome; grass,Poaceae,Bromus,carinatus,,,,marginatus,(Nees) Barkw. & Anderton,,,Laurel Anderton,2005-01-01,IDD:  20050000; Anderton of Intermountain Herbarium - Utah State University,Not Listed,Janszen 1979,Harvey Janszen,1025,1979-04-20,British Columbia,Gulf Islands,North Pender Island,,48.78333333,-123.2833333,,,,,,open bluff; oaks bluff,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098627,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,,Adolf Ceska,1981-01-01,,Not Listed,,Harvey Janszen,1027,1979-04-20,British Columbia,,North Pender Island,,,,,,,,,sedge fens; roadside ditches,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098022,Aira praecox L.,Aira praecox L.,early hairgrass; grass,Poaceae,Aira,praecox,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1031,1979-05-10,British Columbia,Gulf Islands,Mayne Island,Heck Hill,48.85,-123.2833333,,,,,,Open bluff.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098020,Poa secunda J. Presl ssp. secunda,Poa secunda J. Presl ssp. secunda,grass; Sandberg's bluegrass,Poaceae,Poa,secunda,,secunda,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1034,1979-05-10,British Columbia,Gulf Islands,Mayne Island,E of Heck Hill,48.85,-123.2833333,,,,,,open bluff,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098016,Turritis glabra  L.,Turritis glabra  L.,,Brassicaceae,Turritis,glabra,L.,,,,,,,Curtis Bjork,2015-03-01,,,Janszen 1979,Harvey Janszen,1040,1999-05-10,British Columbia,Gulf Islands,Mayne Island; Heck Hill,,48.85,-121.5166667,,,,,,open bluff.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098380,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris (L.) Medik.,shepherd's purse,Brassicaceae,Capsella,bursa-pastoris,(L.) Medik.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1041,1979-05-10,British Columbia,Gulf Islands,Mayne Island,Hardscrabble Farm,48.85,-123.2833333,,,,,,garden of farm,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098023,Botrychium silaifolium K.B. Presl,Botrychium silaifolium K.B. Presl,celery moonwort; fern,Ophioglossaceae,Botrychium,silaifolium,K.B. Presl,,,,,,,Adolf Ceska,2002-02-14,"Ceska, a member of the British Columbia Conservation Data Centre at this time (20020214)",Not Listed,Janszen 1979,Harvey Janszen,1048,1979-05-10,British Columbia,Gulf Islands,Mayne Island; Bennett Bay,,48.85,-123.2333333,,,,,,"swale, roadside",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098029,Anthoxanthum odoratum L.,Anthoxanthum odoratum L.,grass; sweet vernalgrass,Poaceae,Anthoxanthum,odoratum,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1050,1979-05-10,British Columbia,Gulf Islands,Mayne Island,Bennett Bay,48.85,-123.2833333,,,,,,Roadside of fields.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098031,Equisetum arvense L.,Equisetum arvense L.,common horsetail; horsetail,Equisetaceae,Equisetum,arvense,L.,,,,,,,Adolf Ceska,1981-01-01,,Not Listed,,Harvey Janszen,1051,1979-05-10,British Columbia,,Mayne Island,Bennett Bay Road,,,,,,,,sterile,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098028,Dactylis glomerata L.,Dactylis glomerata L.,grass; orchard-grass,Poaceae,Dactylis,glomerata,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,,Harvey Janszen,1052,1979-05-10,British Columbia,Gulf Islands,Mayne Island; Bennett Bay,,48.85,-123.2333333,,,,,,roadside,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098014,Bromus carinatus Hook. & Arn. var. carinatus,Bromus carinatus Hook. & Arn. var. carinatus,California brome; grass,Poaceae,Bromus,carinatus,,,,carinatus,,,,Kendrick Marr,2006-11-23,,Not Listed,Janszen 1979,Harvey Janszen,1053,1979-05-10,British Columbia,Gulf Islands,Bennett Bay; Mayne Island,,48.85,-123.2333333,,,,,,roadside,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098538,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana (L.) Heynh.,cress; mouse-ear,Brassicaceae,Arabidopsis,thaliana,(L.) Heynh.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1055,1979-05-12,British Columbia,Gulf Islands,Saturna Island,garden,48.8,-123.2,,,,,,garden soil,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098540,Lepidium campestre (L.) R. Br.,Lepidium campestre (L.) R. Br.,field pepper-grass; pepper-grass,Brassicaceae,Lepidium,campestre,(L.) R. Br.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1057,1979-05-24,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,waste ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098384,Bromus vulgaris (Hook.) Shear,Bromus vulgaris (Hook.) Shear,Columbia brome; grass,Poaceae,Bromus,vulgaris,(Hook.) Shear,,,,,,,Jeffery Saarela,2009-01-01,"IDD:  20090000; Saarela from National Herbarium of Canada (CAN), Canadian Museum of Nature",Not Listed,Janszen 1979,Harvey Janszen,1063,,British Columbia,Gulf Islands,Horton Bay; Mayne Island,,48.83333333,-123.25,,,,,,Moss florr; fir forest,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098055Y,Polystichum munitum (Kaulf.) K.B. Presl,Polystichum munitum (Kaulf.) K.B. Presl,fern; sword fern,Dryopteridaceae,Polystichum,munitum,(Kaulf.) K.B. Presl,,,,,,,Adolf Ceska,1981-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1066,1979-05-31,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.2833333,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098050,Bromus inermis Leys.,Bromus inermis Leys.,grass; smooth brome,Poaceae,Bromus,inermis,Leys.,,,,,,,Jeffery Saarela,2009-01-01,IDD:  20090000; Saarela of National Herbarium of Canada (CAN); Canadian Museum of Nature,Not Listed,Janszen 1979,Harvey Janszen,1069,1979-05-31,British Columbia,Gulf Islands,Mayne Island; Horton Bay,S of Horton Bay,48.83333333,-123.25,,,,,,abandoned farm fields,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098009,Poa pratensis L. ssp. angustifolia (L.) Lej.,Poa pratensis L. ssp. angustifolia (L.) Lej.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,,angustifolia,(L.) Lej.,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1979,Harvey Janszen,1074,1979-05-31,British Columbia,Gulf Islands,Mayne Island,Mayne Island,48.85,-123.2833333,,,,,,moist alder forest in shade,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097783,Trifolium striatum L.,Trifolium striatum L.,clover; knotted clover,Fabaceae,Trifolium,striatum,L.,,,,,,,Frank Lomer,2000-04-01,"IDD:  20000400; Lomer states:""stet""",Not Listed,Janzsen 1979,Harvey Janszen,1077,,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.2833333,,,,,,Shady logging road; alder forests.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V098046,Bromus carinatus Hook. & Arn. var. carinatus,Bromus carinatus Hook. & Arn. var. carinatus,California brome; grass,Poaceae,Bromus,carinatus,,,,carinatus,,,,Kendrick Marr,2006-11-23,,Not Listed,Janszen 1979,Harvey Janszen,1078,1979-05-31,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.2833333,,,,,,shady logging road; alder forest,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
